YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2022,15,0,20,0,0,0,0,1,0,23000
2022,15,0,21,1,0,0,0,0,0,25000
2022,15,0,41,0,0,0,1,0,0,12000
2022,15,0,19,0,0,0,0,1,0,7000
2022,15,0,62,0,0,0,1,0,0,29300
2022,15,0,22,0,0,0,1,0,0,35400
2022,15,0,81,0,0,0,0,0,0,14400
2022,15,0,20,1,0,0,0,1,0,26900
2022,15,0,20,0,0,1,0,0,0,12000
2022,15,0,41,0,0,0,1,0,1,6000
2022,15,0,26,1,0,0,0,1,0,28100
2022,15,0,45,1,0,0,0,0,1,40800
2022,15,0,19,0,0,0,0,1,0,23000
2022,15,0,20,0,0,0,0,1,0,23500
2022,15,0,90,0,0,0,0,1,0,12000
2022,15,0,61,0,1,0,0,0,0,15600
2022,15,1,55,0,0,0,1,0,0,9280
2022,15,1,41,0,0,0,0,1,1,4500
2022,15,1,18,0,0,0,1,0,0,2000
2022,15,0,21,1,0,0,0,0,0,86000
2022,15,1,21,0,0,0,0,1,0,28800
2022,15,0,22,0,0,0,0,1,0,24000
2022,15,0,78,0,0,0,0,1,0,5600
2022,15,1,31,0,0,0,0,0,0,0
2022,15,1,40,0,0,0,1,0,0,10380
2022,15,0,19,0,0,0,0,1,0,3500
2022,15,0,73,0,0,0,0,1,0,5600
2022,15,0,43,0,0,0,0,1,0,9600
2022,15,0,20,1,0,0,0,0,0,9600
2022,15,0,44,0,0,0,1,0,0,9500
2022,15,0,91,0,0,0,1,0,0,23800
2022,15,0,53,0,0,1,0,0,0,1200
2022,15,0,21,0,0,0,0,1,0,24000
2022,15,1,18,0,0,0,1,0,0,2000
2022,15,1,20,0,0,0,0,1,0,25000
2022,15,0,27,0,0,0,0,0,0,20200
2022,15,0,22,0,0,0,0,1,0,22000
2022,15,1,56,0,0,0,0,0,0,10800
2022,15,1,20,0,0,0,0,1,0,25000
2022,15,0,19,0,0,0,0,1,0,7000
2022,15,0,32,0,0,0,1,0,0,630
2022,15,0,59,0,0,0,0,0,0,9780
2022,15,0,20,0,0,0,0,1,0,27600
2022,15,0,21,0,0,0,0,1,0,24000
2022,15,0,34,0,0,0,0,0,1,36000
2022,15,1,59,0,0,0,1,0,0,9500
2022,15,0,21,0,0,0,0,1,0,4000
2022,15,0,28,0,0,0,0,1,1,12000
2022,15,0,21,1,0,0,0,0,0,39000
2022,15,1,97,0,1,0,0,0,0,6000
2022,15,0,25,0,0,0,0,1,0,39300
2022,15,1,91,0,0,0,0,0,0,6000
2022,15,0,24,0,0,0,0,1,0,25000
2022,15,0,19,0,0,0,0,1,0,24800
2022,15,1,36,0,0,0,0,0,0,5200
2022,15,0,92,0,1,0,0,0,0,60000
2022,15,0,67,0,1,0,0,0,0,15300
2022,15,0,88,0,1,0,0,0,0,27900
2022,15,1,35,0,0,0,1,0,0,16800
2022,15,1,40,0,0,0,1,0,0,10380
2022,15,0,71,0,0,0,0,1,1,35200
2022,15,0,81,0,1,0,0,0,0,14400
2022,15,0,18,1,0,0,0,1,0,2000
2022,15,1,27,0,0,0,1,0,0,0
2022,15,0,18,0,1,0,0,0,0,3000
2022,15,0,22,0,0,1,0,0,0,27600
2022,15,0,22,0,0,0,0,1,0,68000
2022,15,0,18,0,0,1,0,0,0,5000
2022,15,1,20,1,0,0,0,0,0,9300
2022,15,1,61,0,0,0,0,1,0,9000
2022,15,1,18,0,0,0,0,1,0,3100
2022,15,0,20,0,0,0,0,1,0,25000
2022,15,0,22,1,0,0,0,1,0,40000
2022,15,0,81,0,1,0,0,0,0,48200
2022,15,0,31,1,0,0,0,0,0,0
2022,15,0,29,0,0,0,0,1,1,33000
2022,15,1,18,0,0,0,0,0,0,600
2022,15,0,22,1,0,0,0,1,0,15000
