Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A14006_001,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008
"72101","Morovis Municipio, Puerto Rico","pr","050","00",,,,"72","101",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72101","Morovis Municipio",,,,28534,23010,20747,4797,6606,5057,3330,762,38,157
"72103","Naguabo Municipio, Puerto Rico","pr","050","00",,,,"72","103",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72103","Naguabo Municipio",,,,23205,21416,16529,3275,6482,2852,2997,771,51,101
"72105","Naranjito Municipio, Puerto Rico","pr","050","00",,,,"72","105",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72105","Naranjito Municipio",,,,29246,21399,21545,5821,5803,5663,3372,732,1,153
"72107","Orocovis Municipio, Puerto Rico","pr","050","00",,,,"72","107",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72107","Orocovis Municipio",,,,21351,19062,15437,4270,4734,3574,2249,558,44,8
"72109","Patillas Municipio, Puerto Rico","pr","050","00",,,,"72","109",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72109","Patillas Municipio",,,,15753,23422,12027,2283,3560,3521,1702,863,42,56
"72111","Peñuelas Municipio, Puerto Rico","pr","050","00",,,,"72","111",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72111","Peñuelas Municipio",,,,20082,20959,14264,3652,3865,3088,3054,454,58,93
"72113","Ponce Municipio, Puerto Rico","pr","050","00",,,,"72","113",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72113","Ponce Municipio",,,,134676,18827,98155,19300,28275,20659,20715,5951,1310,1945
"72115","Quebradillas Municipio, Puerto Rico","pr","050","00",,,,"72","115",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72115","Quebradillas Municipio",,,,23486,23624,17428,4298,4792,4642,2741,745,20,190
"72117","Rincón Municipio, Puerto Rico","pr","050","00",,,,"72","117",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72117","Rincón Municipio",,,,15276,25223,11950,3087,3074,2863,2303,414,60,149
"72119","Río Grande Municipio, Puerto Rico","pr","050","00",,,,"72","119",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72119","Río Grande Municipio",,,,46478,26745,34695,7034,10469,8095,7171,1616,119,191
"72121","Sabana Grande Municipio, Puerto Rico","pr","050","00",,,,"72","121",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72121","Sabana Grande Municipio",,,,22541,20564,16710,3085,5678,3088,4073,631,78,77
"72123","Salinas Municipio, Puerto Rico","pr","050","00",,,,"72","123",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72123","Salinas Municipio",,,,25397,21611,18413,3904,7410,3537,2853,608,40,61
"72125","San Germán Municipio, Puerto Rico","pr","050","00",,,,"72","125",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72125","San Germán Municipio",,,,31514,17921,23330,5902,7561,4201,4272,960,181,253
"72127","San Juan Municipio, Puerto Rico","pr","050","00",,,,"72","127",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72127","San Juan Municipio",,,,338661,26981,253786,36782,52861,57143,64267,24116,11192,7425
"72129","San Lorenzo Municipio, Puerto Rico","pr","050","00",,,,"72","129",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72129","San Lorenzo Municipio",,,,37515,21320,28103,7476,7065,7968,3722,1454,149,269
"72131","San Sebastián Municipio, Puerto Rico","pr","050","00",,,,"72","131",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72131","San Sebastián Municipio",,,,39168,17834,29380,8316,7843,6523,5172,1188,77,261
"72133","Santa Isabel Municipio, Puerto Rico","pr","050","00",,,,"72","133",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72133","Santa Isabel Municipio",,,,20064,23197,14370,2454,5089,2690,3327,599,43,168
"72135","Toa Alta Municipio, Puerto Rico","pr","050","00",,,,"72","135",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72135","Toa Alta Municipio",,,,66536,33349,48508,7094,12808,14826,10284,2758,220,518
"72137","Toa Baja Municipio, Puerto Rico","pr","050","00",,,,"72","137",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72137","Toa Baja Municipio",,,,73987,29648,54678,8688,14551,16313,11324,3012,324,466
"72139","Trujillo Alto Municipio, Puerto Rico","pr","050","00",,,,"72","139",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72139","Trujillo Alto Municipio",,,,67329,38773,50032,6381,9488,14198,14570,3711,806,878
"72141","Utuado Municipio, Puerto Rico","pr","050","00",,,,"72","141",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72141","Utuado Municipio",,,,27896,17624,20872,5230,5565,5330,3940,617,127,63
"72143","Vega Alta Municipio, Puerto Rico","pr","050","00",,,,"72","143",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72143","Vega Alta Municipio",,,,35114,25235,25380,5544,6898,6661,4331,1567,104,275
"72145","Vega Baja Municipio, Puerto Rico","pr","050","00",,,,"72","145",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72145","Vega Baja Municipio",,,,54058,23877,40183,9038,11614,9506,7798,1795,255,177
"72147","Vieques Municipio, Puerto Rico","pr","050","00",,,,"72","147",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72147","Vieques Municipio",,,,8147,17531,6022,1815,2872,590,330,138,0,277
"72149","Villalba Municipio, Puerto Rico","pr","050","00",,,,"72","149",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72149","Villalba Municipio",,,,21778,24882,15582,3295,4970,3814,2722,591,61,129
"72151","Yabucoa Municipio, Puerto Rico","pr","050","00",,,,"72","151",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72151","Yabucoa Municipio",,,,29868,21279,22434,5722,5818,6775,3266,677,79,97
"72153","Yauco Municipio, Puerto Rico","pr","050","00",,,,"72","153",,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"0500000US72153","Yauco Municipio",,,,33509,21918,25350,5193,8609,4674,5117,1247,187,323
